movieId,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,cluster
613,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3598,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
140627,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
3586,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3584,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
63033,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
3577,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
63082,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3556,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
802,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
783,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
3554,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
64114,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3528,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
64622,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
140162,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
64957,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
64993,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
65130,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
65193,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
63992,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
779,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
