movieId,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,cluster
27878,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150696,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76054,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7156,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7141,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75947,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27176,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4217,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5224,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7124,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1361,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27329,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49265,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
90769,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
112334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90630,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151759,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7096,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90863,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49263,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49132,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90943,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58191,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4171,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152711,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154358,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154975,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74696,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5288,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2538,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
